"year","date","site","transect","coral_genus","percent"
2005,2005-02-16,"Haapiti",1,"Acropora",10
2005,2005-02-16,"Haapiti",1,"Astrea",0
2005,2005-02-16,"Haapiti",1,"Montipora",4
2005,2005-02-16,"Haapiti",1,"Pocillopora",14
2005,2005-02-16,"Haapiti",1,"Porites",4
2005,2005-02-16,"Haapiti",1,"other",0
2005,2005-02-16,"Haapiti",2,"Acropora",2
2005,2005-02-16,"Haapiti",2,"Astrea",0
2005,2005-02-16,"Haapiti",2,"Montipora",6
2005,2005-02-16,"Haapiti",2,"Pocillopora",4
2005,2005-02-16,"Haapiti",2,"Porites",4
2005,2005-02-16,"Haapiti",2,"other",2
2005,2005-02-16,"Haapiti",3,"Acropora",2
2005,2005-02-16,"Haapiti",3,"Astrea",2
2005,2005-02-16,"Haapiti",3,"Montipora",4
2005,2005-02-16,"Haapiti",3,"Pocillopora",12
2005,2005-02-16,"Haapiti",3,"Porites",6
2005,2005-02-16,"Haapiti",3,"other",10
2005,2005-02-16,"Taotaha",1,"Acropora",12
2005,2005-02-16,"Taotaha",1,"Astrea",0
2005,2005-02-16,"Taotaha",1,"Montipora",2
2005,2005-02-16,"Taotaha",1,"Pocillopora",12
2005,2005-02-16,"Taotaha",1,"Porites",4
2005,2005-02-16,"Taotaha",1,"other",2
2005,2005-02-16,"Taotaha",2,"Acropora",12
2005,2005-02-16,"Taotaha",2,"Astrea",0
2005,2005-02-16,"Taotaha",2,"Montipora",12
2005,2005-02-16,"Taotaha",2,"Pocillopora",12
2005,2005-02-16,"Taotaha",2,"Porites",0
2005,2005-02-16,"Taotaha",2,"other",6
2005,2005-02-16,"Taotaha",3,"Acropora",14
2005,2005-02-16,"Taotaha",3,"Astrea",2
2005,2005-02-16,"Taotaha",3,"Montipora",2
2005,2005-02-16,"Taotaha",3,"Pocillopora",18
2005,2005-02-16,"Taotaha",3,"Porites",0
2005,2005-02-16,"Taotaha",3,"other",2
2005,2005-02-17,"Tetaiuo",1,"Acropora",4
2005,2005-02-17,"Tetaiuo",1,"Astrea",2
2005,2005-02-17,"Tetaiuo",1,"Montipora",2
2005,2005-02-17,"Tetaiuo",1,"Pocillopora",26
2005,2005-02-17,"Tetaiuo",1,"Porites",8
2005,2005-02-17,"Tetaiuo",1,"other",2
2005,2005-02-17,"Tetaiuo",2,"Acropora",0
2005,2005-02-17,"Tetaiuo",2,"Astrea",0
2005,2005-02-17,"Tetaiuo",2,"Montipora",4
2005,2005-02-17,"Tetaiuo",2,"Pocillopora",24
2005,2005-02-17,"Tetaiuo",2,"Porites",2
2005,2005-02-17,"Tetaiuo",2,"other",2
2005,2005-02-17,"Tetaiuo",3,"Acropora",2
2005,2005-02-17,"Tetaiuo",3,"Astrea",2
2005,2005-02-17,"Tetaiuo",3,"Montipora",8
2005,2005-02-17,"Tetaiuo",3,"Pocillopora",16
2005,2005-02-17,"Tetaiuo",3,"Porites",12
2005,2005-02-17,"Tetaiuo",3,"other",4
2005,2005-02-18,"Entre 2 baies",1,"Acropora",20
2005,2005-02-18,"Entre 2 baies",1,"Astrea",0
2005,2005-02-18,"Entre 2 baies",1,"Montipora",0
2005,2005-02-18,"Entre 2 baies",1,"Pocillopora",12
2005,2005-02-18,"Entre 2 baies",1,"Porites",8
2005,2005-02-18,"Entre 2 baies",1,"other",30
2005,2005-02-18,"Entre 2 baies",2,"Acropora",2
2005,2005-02-18,"Entre 2 baies",2,"Astrea",2
2005,2005-02-18,"Entre 2 baies",2,"Montipora",0
2005,2005-02-18,"Entre 2 baies",2,"Pocillopora",22
2005,2005-02-18,"Entre 2 baies",2,"Porites",12
2005,2005-02-18,"Entre 2 baies",2,"other",12
2005,2005-02-18,"Entre 2 baies",3,"Acropora",12
2005,2005-02-18,"Entre 2 baies",3,"Astrea",4
2005,2005-02-18,"Entre 2 baies",3,"Montipora",0
2005,2005-02-18,"Entre 2 baies",3,"Pocillopora",22
2005,2005-02-18,"Entre 2 baies",3,"Porites",4
2005,2005-02-18,"Entre 2 baies",3,"other",10
2005,2005-02-18,"Pihaena",1,"Acropora",14
2005,2005-02-18,"Pihaena",1,"Astrea",0
2005,2005-02-18,"Pihaena",1,"Montipora",0
2005,2005-02-18,"Pihaena",1,"Pocillopora",20
2005,2005-02-18,"Pihaena",1,"Porites",0
2005,2005-02-18,"Pihaena",1,"other",10
2005,2005-02-18,"Pihaena",2,"Acropora",36
2005,2005-02-18,"Pihaena",2,"Astrea",0
2005,2005-02-18,"Pihaena",2,"Montipora",2
2005,2005-02-18,"Pihaena",2,"Pocillopora",16
2005,2005-02-18,"Pihaena",2,"Porites",2
2005,2005-02-18,"Pihaena",2,"other",0
2005,2005-02-18,"Pihaena",3,"Acropora",24
2005,2005-02-18,"Pihaena",3,"Astrea",0
2005,2005-02-18,"Pihaena",3,"Montipora",2
2005,2005-02-18,"Pihaena",3,"Pocillopora",16
2005,2005-02-18,"Pihaena",3,"Porites",4
2005,2005-02-18,"Pihaena",3,"other",8
2005,2005-02-18,"Tiahura",1,"Acropora",16.33
2005,2005-02-18,"Tiahura",1,"Astrea",0
2005,2005-02-18,"Tiahura",1,"Montipora",2.04
2005,2005-02-18,"Tiahura",1,"Pocillopora",12.24
2005,2005-02-18,"Tiahura",1,"Porites",18.37
2005,2005-02-18,"Tiahura",1,"other",2.04
2005,2005-02-18,"Tiahura",2,"Acropora",4
2005,2005-02-18,"Tiahura",2,"Astrea",0
2005,2005-02-18,"Tiahura",2,"Montipora",0
2005,2005-02-18,"Tiahura",2,"Pocillopora",22
2005,2005-02-18,"Tiahura",2,"Porites",14
2005,2005-02-18,"Tiahura",2,"other",6
2005,2005-02-18,"Tiahura",3,"Acropora",12
2005,2005-02-18,"Tiahura",3,"Astrea",0
2005,2005-02-18,"Tiahura",3,"Montipora",4
2005,2005-02-18,"Tiahura",3,"Pocillopora",6
2005,2005-02-18,"Tiahura",3,"Porites",6
2005,2005-02-18,"Tiahura",3,"other",6
2005,2005-02-19,"Afareaitu",1,"Acropora",14
2005,2005-02-19,"Afareaitu",1,"Astrea",0
2005,2005-02-19,"Afareaitu",1,"Montipora",2
2005,2005-02-19,"Afareaitu",1,"Pocillopora",14
2005,2005-02-19,"Afareaitu",1,"Porites",0
2005,2005-02-19,"Afareaitu",1,"other",2
2005,2005-02-19,"Afareaitu",2,"Acropora",8
2005,2005-02-19,"Afareaitu",2,"Astrea",0
2005,2005-02-19,"Afareaitu",2,"Montipora",8
2005,2005-02-19,"Afareaitu",2,"Pocillopora",16
2005,2005-02-19,"Afareaitu",2,"Porites",4
2005,2005-02-19,"Afareaitu",2,"other",0
2005,2005-02-19,"Afareaitu",3,"Acropora",2
2005,2005-02-19,"Afareaitu",3,"Astrea",0
2005,2005-02-19,"Afareaitu",3,"Montipora",2
2005,2005-02-19,"Afareaitu",3,"Pocillopora",10
2005,2005-02-19,"Afareaitu",3,"Porites",2
2005,2005-02-19,"Afareaitu",3,"other",0
